username;tweet;fecha;anuncio;ubicacion;fecha_sola;sentimiento
Pamela41935110;no hay repuesta se lava la mano ustdet y el banco anse tambien carajo piensa hacer;2020-03-29 13:55:57+00:00;Anuncio_2;Buenos Aires, Argentina;2020-03-29;
Pamela41935110;piensa mataron de hambre no por el virus si no por hacer todo mal no hareglo nada iva ser para los jubilado y pensionados deja a asen no da solucion no es patos lo banco esa huella cobra mira cobra y otro no cobramos carsjo pienses hacer matarno pasando re enoja furiosa;2020-03-29 13:55:13+00:00;Anuncio_2;Buenos Aires, Argentina;2020-03-29;
Pamela41935110;una pregunta hasta cuanto va esta esto ya no pode mi mas y los banco no atiende ni por telefono y no abre que sea un rato despues cierra les cuesta pedi mi tarjeta de debito no me la dieron ustde tiene plata yo y mi mama no tenemos plata no voy cobra no tengo tarjeta de debito;2020-03-29 13:52:40+00:00;Anuncio_2;Buenos Aires, Argentina;2020-03-29;
luchocremaschi;diganle a federico fernandez que al menos firme el petitorio para ser un poco mas serios;2020-03-29 07:45:44+00:00;Anuncio_2;Buenos Aires, Argentina;2020-03-29;
SandraA09996070;alferdezprensa alferdez reclamo profesionales autonomos;2020-03-29 16:19:39+00:00;Anuncio_2;Paraná, Argentina;2020-03-29;
Antoo2108181;chee alferdezprensa y aca que pasa y la cuarentena y la policia;2020-04-10 23:03:23+00:00;Anuncio_3;Buenos Aires, Argentina;2020-04-10;
MatiasERuiz;dia de sentimientos anticuarentena en su cenit muy a pesar de ello se olfatea una acentuacion de la invectiva confiscatoria oficial sobre esa medida que evalua tomar mr president no lo haga casi un ruego no rompa todo cc alferdez alferdezprensa;2020-04-10 21:13:05+00:00;Anuncio_3;Buenos Aires, Argentina;2020-04-10;
adrianad952;alferdez alferdezprensa titere felpudo complice de cfk;2020-04-10 20:49:20+00:00;Anuncio_3;Rosario, Argentina;2020-04-10;
adrianad952;alferdez alferdezprensa ginesggarcia nomevanacallar gobiernodeinutiles gobiernocriminal gobiernoasesino culpables todos de los contagios y muertes x coronavirus;2020-04-10 13:23:59+00:00;Anuncio_3;Rosario, Argentina;2020-04-10;
RosanaFalabella;horaciorlarreta alferdezprensa alferdez como este tema se extiende hasta el dia de hoy a lo mejor tenga ganas de ayudarme la scjn me manifesto que so quiero denunciar noooo es momento de construir tenemos un gran presidente alferdez;2020-04-25 20:07:17+00:00;Anuncio_4;Buenos Aires, Argentina;2020-04-25;
emmariviello;elpeorpresidentedelahistoria es tendencia en twitter sera en parte porque alferdez paso de negociar con el mercosur a negociar con los presos kicillofok santicafiero alferdezprensa felipesola;2020-04-25 17:19:10+00:00;Anuncio_4;Buenos Aires, Argentina;2020-04-25;
Ly_Cerv;mauriciomacri siempre demostro su amor por su gente en cientos de maneras asi nosotros con el porque se nos hace imposible olvidar sus 4 anos de gobierno a pesar de todas las abominaciones que le hizo la opo salvaje q soporto estoicamente mauriciomacrielmejor;2020-04-25 14:32:21+00:00;Anuncio_4;Buenos Aires, Argentina;2020-04-25;
