username;tweet;fecha;anuncio;ubicacion;id
miky_future;el cosmos una de cal y una de arena el numero seis y el multiplo de tres es lo bueno y es lo malo y estas realidades ocultas entre tantas el covitt 19 en china empezo el 6 de febrero felizdomingo buendomingo codvid19 covid19argentina economia lahoradelplaneta;2020-03-29 18:46:02+00:00;Anuncio_2;Buenos Aires, Argentina;1244335021147766786
Aberasturi_2020;parece la matanza en argentina con razon alli gana las elecciones cfkargentina;2020-03-29 18:57:44+00:00;Anuncio_2;Cordoba, Argentina;1244337966408925184
chikchoy;no dejo de pensar en aquel 185 que cristina nos salvo de la pandemia cfkargentina gracias te amo para siempre;2020-03-29 17:02:19+00:00;Anuncio_2;Cordoba, Argentina;1244308918920253441
LuisErn60175626;mi senora y yo ayer nos vacunamos al modico precio de 990 cada una de ellas;2020-03-29 12:00:04+00:00;Anuncio_2;Cordoba, Argentina;1244232857368907777
adrianad952;ya te estaba x mandar a la mierda;2020-03-29 18:00:19+00:00;Anuncio_2;Rosario, Argentina;1244323515299500040
jorgecandia181;x lo que veo en tu perfil tendrias que estar quejandote que gastan la plata de tus impuestos en traerlos y no lo haces xq sos un hipocrita con doble vara para opinar hablas de grieta y no perdes oportunidad de nombrarla a cfkargentina;2020-03-29 15:25:13+00:00;Anuncio_2;Rosario, Argentina;1244284482804473857
Cuni631;viva la pepa esto es populismo al palo;2020-03-29 03:23:40+00:00;Anuncio_2;Rosario, Argentina;1244102902232363009
SangreVascaHLVS;es de el pobrecito pero nos dejo algo valioso para tener fuerza de enfrentar esto;2020-03-29 03:05:01+00:00;Anuncio_2;Rosario, Argentina;1244098207153639424
SangreVascaHLVS;lo publicaron en facebook sin nombre del autor y me emociono muchisimo sinceramente hoy me sentia abatida y senti que a muchos como a mi les haria bien leerlo si consigo el nombre de su autor prometo agregarlo;2020-03-29 02:43:51+00:00;Anuncio_2;Rosario, Argentina;1244092878776868864
KORTAZAR;gracias alberto cuidate mucho hermano el pueblo siente que alferdez hoy no podria ser reemplazado x nadie confia mucho en vos segui codo a codo junto al pueblo como dijo cfkargentina y todo culminara mejor quedateenlacasa cuarentenatotal chaucovid19;2020-03-29 01:14:24+00:00;Anuncio_2;Rosario, Argentina;1244070367624335362
Mari29498688;nunca un apoyo al presidente no todavia no sabe lo que pasa en argentina;2020-03-29 23:15:14+00:00;Anuncio_2;Mendoza, Argentina;1244402769542418433
Mariano45565245;a kriskk y a su cria;2020-03-29 20:04:21+00:00;Anuncio_2;Mendoza, Argentina;1244354729385308161
AgaticalAndrea;infancia inaki tan consciente de que hay que quedarse en casa para volver a vernos y abrazarnos neuquen quedateencasa alferdez cfkargentina omargutierrezok cquintriqueook tan agradecida como mama;2020-03-29 19:20:29+00:00;Anuncio_2;Neuquén, Argentina;1244343692103684096
maria19271;yo las tomo para 2 veces al dia almuerzo y cena desde noviembre que empeze tratamiento para la artritis mejoro mi calidad de vida;2020-03-29 04:12:59+00:00;Anuncio_2;Paraná, Argentina;1244115310577319940
marianoromano07;no estan para que alferdez invite a cfkargentina a la proxima conferencia necesito verla en cuasi cadena nacional de nuevo escuchar su voz algo please y leer publis gorilas consecuentes para reir toda la semana en casa obviamente;2020-04-10 23:58:34+00:00;Anuncio_3;Buenos Aires, Argentina;1248762327933095938
CristianMileto;que metiche infumable;2020-04-10 23:33:56+00:00;Anuncio_3;Buenos Aires, Argentina;1248756128823066624
CristianMileto;que seria especificamente enriquecerse a costa de los ciudadanos;2020-04-10 23:20:29+00:00;Anuncio_3;Buenos Aires, Argentina;1248752743097028608
svf_04;eldestapeweb escuche la entrevista a florkirchner cuanto sufrimiento por lo que paso pero mantiene intacto su don de gente cfkargentina gracias;2020-04-10 22:53:35+00:00;Anuncio_3;Buenos Aires, Argentina;1248745975176454144
CristianMileto;si vos tenes pruebas de q alguien robo deberias denunciarlo xq sino estarias siendo complice y eso tambien es delito;2020-04-10 22:38:50+00:00;Anuncio_3;Buenos Aires, Argentina;1248742263188066305
CristianMileto;pero cuando decis sueldo te referis a lo q descuentan por ganancias;2020-04-10 22:05:24+00:00;Anuncio_3;Buenos Aires, Argentina;1248733847262498822
CristianMileto;pero que es especificamente lo que te roban;2020-04-10 21:57:17+00:00;Anuncio_3;Buenos Aires, Argentina;1248731804632260608
GamesRedDeer;play let the fun begin like rt click did you see it;2020-07-28 20:47:23+00:00;Anuncio_3;Buenos Aires, Argentina;1288214494167158784
CristianMileto;te roban todo aguantaaaaa paolo rocca;2020-04-10 21:52:39+00:00;Anuncio_3;Buenos Aires, Argentina;1248730638687100933
CristianMileto;que buena excusa para no donar se te ocurrio a vos la idea o necesitaste ayuda man;2020-04-10 21:48:30+00:00;Anuncio_3;Buenos Aires, Argentina;1248729594435457025
Lyonch6;la cuenca alta y donde queda cual es el area de cobertura y cuantos habitantes hay en la misma;2020-04-10 12:51:04+00:00;Anuncio_3;Cordoba, Argentina;1248594346817081344
